[C]	171.34	0.01	171.22
[CH]	142.48	0.03	142.48
[CH2]	93.58	0.03	94.75
[CH3]	34.98	0.02	35.67
C	-17.81	0.01	-17.55
[C]=[C]	198.06	0.06	197.35
[C]#C	135.75	0.04	137.01
C#C	54.56	0.03	56.13
[C]=C	98.52	0.08	99.95
[C]C	120.67	0.21	121.66
[CH]=C	70.96	0.08	71.98
C=C	12.54	0.03	13.55
[CH]C	84.72	0.2	86.14
[CH2]C	28.65	0.07	29.94
CC	-20.05	0.03	-19.28
[C]C=[C]	196.82	0.13	198.2
[C]C[CH]	172.63	0.19	174.15
[CH]C[CH]	130.59	0.15	132.05
[C]=C=C	132.79	0.1	134.29
[C]1C=C1	118.58	0.11	120.42
[C]=C[CH]	190.58	0.31	191.16
C#C[CH2]	84	0.09	85.37
[C]#CC	125.87	0.19	128.44
[C]1=CC1	125.13	0.19	126.83
[CH]1C=C1	116.26	0.18	118.37
C=C=C	45.38	0.06	46.84
C#CC	44.39	0.06	46.09
C1=CC1	67.83	0.13	69.63
[CH2]C=C	40.11	0.13	41.46
[CH]=CC	63.86	0.19	65.58
C=[C]C	60.36	0.17	61.78
[CH]1CC1	69.36	0.38	71.72
C=CC	4.78	0.05	6.45
C1CC1	12.82	0.11	14.63
[CH2]CC	24.09	0.15	25.87
C[CH]C	21.2	0.16	22.61
CCC	-25.1	0.05	-23.68
C#CC#C	110.01	0.21	112.54
C#CCC	39.62	0.16	42.22
CC#CC	34.89	0.14	37.27
C=CC=C	26.43	0.1	28.97
C1=CCC1	38.18	0.22	41.04
C=CCC	-0.02	0.09	2.38
C/C=C\C	-1.75	0.1	0.75
C/C=C/C	-2.7	0.1	-0.42
C=C(C)C	-4.1	0.11	-1.83
C1CCC1	6.6	0.11	9.75
CC1CC1	5.81	0.31	8.08
[CH2]CCC	18.7	0.23	21.45
CCCC	-30.1	0.06	-27.91
CC(C)C	-32.21	0.08	-30.17
C1=CCC=C1	31.73	0.18	35.02
C1=CCCC1	8.09	0.11	11.22
C1CCCC1	-18.54	0.11	-15.44
CCCCC	-34.98	0.07	-32.14
CCC(C)C	-36.63	0.11	-34.08
C1=CC=CC=C1	19.86	0.06	22.1
C=CCCC=C	20.03	0.1	23.96
C1CCCCC1	-29.43	0.09	-26.28
CCCCCC	-39.9	0.08	-36.38
CC1=CC=CC=C1	12.01	0.09	14.4
CCCCCCCC	-49.78	0.16	-45.5
CC(C)CC(C)(C)C	-53.47	0.36	-49.63
C1=CC1CC2C=C2	50.79	0.29	60.35
CC(C)(C)C	-40.04	0.1	-44.89
[C]1=CC=CC1	80.56	0.14	85.33
C=1=C=C=1	216.56	0.36	218.82
[C-]#[O+]	-26.42	0.01	-26.74
O=C=O	-94.04	0.00	-95.59
[CH]=O	9.99	0.02	9.81
[C]O	52.03	0.16	51.97
C=O	-26.10	0.02	-27.10
[CH]O	25.97	0.08	25.85
[CH2]O	-3.96	0.08	-4.01
C[O]	5.15	0.08	4.51
CO	-47.97	0.04	-48.58
O=[C]O	-43.96	0.11	-44.73
O=C[O]	-30.15	0.13	-31.29
OC=O	-90.45	0.05	-91.75
C1OO1	0.42	0.13	-1.58
CO[O]	3.00	0.12	1.84
OCO	-93.80	0.23	-95.05
[CH]=C=O	42.54	0.14	42.87
C=C=O	-11.61	0.03	-11.41
C1=CO1	65.04	0.23	65.77
C[C]=O	-2.38	0.09	-2.23
